 "entity_uri" , "entity_lable" ,
 "http://purl.obolibrary.org/obo/SO_0001542" , "increased_transcript_level_variant" ,
 "http://purl.obolibrary.org/obo/SO_0001327" , "two_prime_O_methylguanosine" ,
 "http://purl.obolibrary.org/obo/SO_0002122" , "immunoglobulin_gene" ,
 "http://purl.obolibrary.org/obo/SO_0001950" , "H4K4_trimethylation_site" ,
 "http://purl.obolibrary.org/obo/SO_0001034" , "miRtron" ,
 "http://purl.obolibrary.org/obo/SO_0001925" , "ARIA" ,
 "http://purl.obolibrary.org/obo/SO_0000512" , "inversion_derived_deficiency_plus_aneuploid" ,
 "http://purl.obolibrary.org/obo/SO_0001330" , "N2_N2_2_prime_O_trimethylguanosine" ,
 "http://purl.obolibrary.org/obo/SO_0001202" , "ambisense_ssRNA_viral_sequence" ,
 "http://purl.obolibrary.org/obo/SO_0002133" , "T_cell_receptor_gene" ,
 "http://purl.obolibrary.org/obo/SO_0001338" , "N2_7_dimethylguanosine" ,
 "http://purl.obolibrary.org/obo/SO_0000067" , "gene_to_gene_feature" ,
 "http://purl.obolibrary.org/obo/SO_0001555" , "decreased_translational_product_level" ,
 "http://purl.obolibrary.org/obo/SO_0000492" , "D_gene_recombination_feature" ,
 "http://purl.obolibrary.org/obo/SO_0001010" , "i_motif" ,
 "http://purl.obolibrary.org/obo/SO_0000730" , "gap" ,
 "http://purl.obolibrary.org/obo/SO_0000884" , "stop_codon_redefined_as_pyrrolysine" ,
 "http://purl.obolibrary.org/obo/SO_0000962" , "single_stranded_RNA_chromosome" ,
 "http://purl.obolibrary.org/obo/SO_0001723" , "H3K36_dimethylation_site" ,
 "http://purl.obolibrary.org/obo/SO_0001167" , "NDM2_motif" ,
 "http://purl.obolibrary.org/obo/SO_0000445" , "five_prime_noncoding_exon" ,
 "http://purl.obolibrary.org/obo/SO_0001815" , "synonymous" ,
 "http://purl.obolibrary.org/obo/SO_0002121" , "vertebrate_immune_system_gene" ,
 "http://purl.obolibrary.org/obo/SO_1001187" , "alternatively_spliced_transcript" ,
 "http://purl.obolibrary.org/obo/SO_0000129" , "gene_silenced_by_DNA_methylation" ,
 "http://purl.obolibrary.org/obo/SO_0001334" , "hydroxywybutosine" ,
 "http://purl.obolibrary.org/obo/SO_0000732" , "predicted" ,
 "http://purl.obolibrary.org/obo/SO_0001934" , "monomeric_repeat" ,
 "http://purl.obolibrary.org/obo/SO_0001094" , "polypeptide_calcium_ion_contact_site" ,
 "http://purl.obolibrary.org/obo/SO_0001420" , "trans_splice_site" ,
 "http://purl.obolibrary.org/obo/SO_1000065" , "frameshift_sequence_variation" ,
 "http://purl.obolibrary.org/obo/SO_0002157" , "Mat2P" ,
 "http://purl.obolibrary.org/obo/SO_0001029" , "direction_attribute" ,
 "http://purl.obolibrary.org/obo/SO_0000966" , "circular_single_stranded_RNA_chromosome" ,
 "http://purl.obolibrary.org/obo/SO_0001468" , "three_prime_RST" ,
 "http://purl.obolibrary.org/obo/SO_0001446" , "tyrosine" ,
 "http://purl.obolibrary.org/obo/SO_0001236" , "base" ,
 "http://purl.obolibrary.org/obo/SO_0001087" , "cross_link" ,
 "http://purl.obolibrary.org/obo/SO_0000045" , "delete" ,
 "http://purl.obolibrary.org/obo/SO_0000750" , "amplification_origin" ,
 "http://purl.obolibrary.org/obo/SO_1000094" , "sequence_variant_causing_conservative_amino_acid_substitution" ,
 "http://purl.obolibrary.org/obo/SO_0000916" , "edit_operation" ,
