qtl_id,traitName_asinArticle,traitName_ontologyTerm,traitUri,featureName_asinArticle,featureName_ontologyTerm,featureUri_ontologyId,featureValue,featureValue_ontologyTerm,featureValueUri_ontologyId,pmcId,doi,tableId
PMC4321030_TABLE 2_0,Leaf AUDPC,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,2.28‡,2.28‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_1,Stem AUDPC,stem,http://purl.obolibrary.org/obo/PO_0009047,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,9.37‡,9.37‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_2,Days to 1st ripe fruit,Days to 1st ripe fruit,,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,1.88†,1.88†,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_3,Days to 50% ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,7.57‡,7.57‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_4,Yield,yield,http://purl.obolibrary.org/obo/SP_0000198,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,1.91‡,1.91‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_5,Fruit height,fruit,http://purl.obolibrary.org/obo/PO_0009001,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,15.44‡,15.44‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_6,Fruit width,fruit width,http://purl.obolibrary.org/obo/TO_0002627,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,5.56‡,5.56‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_7,Fruit shape,fruit shape,http://purl.obolibrary.org/obo/TO_0002628,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,17.45‡,17.45‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_8,Fruit size,fruit size,http://purl.obolibrary.org/obo/TO_0002625,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,6.32‡,6.32‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_9,Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,11.39‡,11.39‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_10,Seed weight,seed weight,http://purl.obolibrary.org/obo/TO_0000181,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,15.95‡,15.95‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_11,oBrix,oBrix,,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,8.39‡,8.39‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_12,pH,pH,http://purl.obolibrary.org/obo/SP_0000170,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,1.38*,1.38*,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_13,Canopy density,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,3.10‡,3.10‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_14,Plant habit,plant habit,http://purl.obolibrary.org/obo/SP_0000003,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,3.62‡,3.62‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_15,Plant height,plant height,http://purl.obolibrary.org/obo/TO_0000207,F Values Genotype,genotype,http://www.ebi.ac.uk/efo/EFO_0000513,6.41‡,6.41‡,,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
